Channel,Subscriber,View,Income,category
SIO ASMR,3630000,542700000,485000000,food
급식왕,1400000,1497710000,1430000000,concept
drawholic,3190000,340700000,325000000,hobby
돌디,220000,7210000,70300000,information
하나나,180000,3183000,31030000,daily
혜성,130000,60920000,59400000,game
라더,200000,31660000,30870000,game
오늘의카툰,220000,9850000,9605000,animation
사막여우,150000,53280000,51950000,collection
기훈TV,90000,61730000,60190000,economy
무파사,160000,52290000,50980000,concept
주호민,210000,35300000,34410000,daily
사이다님,150000,54620000,53250000,daily
대학내일,120000,76920000,75490000,concept
사과몽,200000,37020000,36090000,game
조마문,80000,59300000,57810000,game
W KOREA,200000,35420000,34540000,review
손혜원TV,230000,30290000,29550000,politics
wavve웨이브,180000,65200000,75670000,brand
어퍼컷Tube,170000,66620000,87140000,review
체스CHES,300000,17340000,16900000,beauty
민가든,230000,46050000,44900000,beauty
흔한일상,270000,31590000,30790000,daily
윤튜브,230000,44980000,43850000,politics
JUCY,330000,27090000,26410000,beauty
뻘짓연구소,250000,55840000,54440000,hobby
백곰선배,220000,74100000,72245000,review
Minjeong Park,330000,18800000,18330000,beauty
제니플레이,130000,134020000,130665000,kids
369랑께,150000,143100000,101700000,game
박가린,280000,53870000,52525000,daily
예소리SSOL,220000,76840000,74920000,food
nyanji냔지,320000,54460000,53095000,beauty
주식왕용느,220000,66450000,85760000,daily
리얼:타임:러브,300000,46290000,45135000,etc
오메킴TV,170000,99970000,97475000,game
민스코,400000,61000000,59475000,beauty
우린,330000,75330000,73450000,beauty
TV홍카콜라,420000,47150000,45975000,politics
김희철 KimHeeChul,520000,17180000,16750000,daily
늘보Movie,280000,86440000,84275000,etc
LilySeeun릴리세은,450000,78080000,76130000,concept
배달의민족,60000,256380000,267020000,corporation
미미미누,360000,173700000,104690000,daily
KIMDAX킴닥스,470000,53160000,51830000,beauty
이과장,400000,80720000,78705000,daily
이니스프리,190000,183930000,179330000,corporation
MariAndGames,280000,171710000,167420000,game
 이산호의 산호조리원,3590,600000,590000,food
 강력&불곰TV ,2050,70000,65000,
 청출예람 ,7490,630000,610000,
 뭐하는거니 ,3120,230000,220000,
 블레스그레이스의맛앤뷰 ,4820,3310000,3230000,
